code,emoji,unicode
AW,🇦🇼,"U+1F1E6 U+1F1FC"
AF,🇦🇫,"U+1F1E6 U+1F1EB"
AO,🇦🇴,"U+1F1E6 U+1F1F4"
AI,🇦🇮,"U+1F1E6 U+1F1EE"
AX,🇦🇽,"U+1F1E6 U+1F1FD"
AL,🇦🇱,"U+1F1E6 U+1F1F1"
AD,🇦🇩,"U+1F1E6 U+1F1E9"
AE,🇦🇪,"U+1F1E6 U+1F1EA"
AR,🇦🇷,"U+1F1E6 U+1F1F7"
AM,🇦🇲,"U+1F1E6 U+1F1F2"
AS,🇦🇸,"U+1F1E6 U+1F1F8"
AG,🇦🇬,"U+1F1E6 U+1F1EC"
AU,🇦🇺,"U+1F1E6 U+1F1FA"
AT,🇦🇹,"U+1F1E6 U+1F1F9"
AZ,🇦🇿,"U+1F1E6 U+1F1FF"
BI,🇧🇮,"U+1F1E7 U+1F1EE"
BE,🇧🇪,"U+1F1E7 U+1F1EA"
BJ,🇧🇯,"U+1F1E7 U+1F1EF"
BF,🇧🇫,"U+1F1E7 U+1F1EB"
BD,🇧🇩,"U+1F1E7 U+1F1E9"
BG,🇧🇬,"U+1F1E7 U+1F1EC"
BH,🇧🇭,"U+1F1E7 U+1F1ED"
BS,🇧🇸,"U+1F1E7 U+1F1F8"
BA,🇧🇦,"U+1F1E7 U+1F1E6"
BL,🇧🇱,"U+1F1E7 U+1F1F1"
SH,🇸🇭,"U+1F1F8 U+1F1ED"
BY,🇧🇾,"U+1F1E7 U+1F1FE"
BZ,🇧🇿,"U+1F1E7 U+1F1FF"
BM,🇧🇲,"U+1F1E7 U+1F1F2"
BO,🇧🇴,"U+1F1E7 U+1F1F4"
BR,🇧🇷,"U+1F1E7 U+1F1F7"
BB,🇧🇧,"U+1F1E7 U+1F1E7"
BN,🇧🇳,"U+1F1E7 U+1F1F3"
BT,🇧🇹,"U+1F1E7 U+1F1F9"
BW,🇧🇼,"U+1F1E7 U+1F1FC"
CF,🇨🇫,"U+1F1E8 U+1F1EB"
CA,🇨🇦,"U+1F1E8 U+1F1E6"
CC,🇨🇨,"U+1F1E8 U+1F1E8"
CH,🇨🇭,"U+1F1E8 U+1F1ED"
CL,🇨🇱,"U+1F1E8 U+1F1F1"
CN,🇨🇳,"U+1F1E8 U+1F1F3"
CI,🇨🇮,"U+1F1E8 U+1F1EE"
CM,🇨🇲,"U+1F1E8 U+1F1F2"
CD,🇨🇩,"U+1F1E8 U+1F1E9"
CG,🇨🇬,"U+1F1E8 U+1F1EC"
CK,🇨🇰,"U+1F1E8 U+1F1F0"
CO,🇨🇴,"U+1F1E8 U+1F1F4"
KM,🇰🇲,"U+1F1F0 U+1F1F2"
CV,🇨🇻,"U+1F1E8 U+1F1FB"
CR,🇨🇷,"U+1F1E8 U+1F1F7"
CU,🇨🇺,"U+1F1E8 U+1F1FA"
CX,🇨🇽,"U+1F1E8 U+1F1FD"
KY,🇰🇾,"U+1F1F0 U+1F1FE"
CY,🇨🇾,"U+1F1E8 U+1F1FE"
CZ,🇨🇿,"U+1F1E8 U+1F1FF"
DE,🇩🇪,"U+1F1E9 U+1F1EA"
DJ,🇩🇯,"U+1F1E9 U+1F1EF"
DM,🇩🇲,"U+1F1E9 U+1F1F2"
DK,🇩🇰,"U+1F1E9 U+1F1F0"
DO,🇩🇴,"U+1F1E9 U+1F1F4"
DZ,🇩🇿,"U+1F1E9 U+1F1FF"
EC,🇪🇨,"U+1F1EA U+1F1E8"
EG,🇪🇬,"U+1F1EA U+1F1EC"
ER,🇪🇷,"U+1F1EA U+1F1F7"
EH,🇪🇭,"U+1F1EA U+1F1ED"
ES,🇪🇸,"U+1F1EA U+1F1F8"
EE,🇪🇪,"U+1F1EA U+1F1EA"
ET,🇪🇹,"U+1F1EA U+1F1F9"
FI,🇫🇮,"U+1F1EB U+1F1EE"
FJ,🇫🇯,"U+1F1EB U+1F1EF"
FK,🇫🇰,"U+1F1EB U+1F1F0"
FR,🇫🇷,"U+1F1EB U+1F1F7"
FO,🇫🇴,"U+1F1EB U+1F1F4"
FM,🇫🇲,"U+1F1EB U+1F1F2"
GA,🇬🇦,"U+1F1EC U+1F1E6"
GB,🇬🇧,"U+1F1EC U+1F1E7"
GE,🇬🇪,"U+1F1EC U+1F1EA"
GG,🇬🇬,"U+1F1EC U+1F1EC"
GH,🇬🇭,"U+1F1EC U+1F1ED"
GI,🇬🇮,"U+1F1EC U+1F1EE"
GN,🇬🇳,"U+1F1EC U+1F1F3"
GP,🇬🇵,"U+1F1EC U+1F1F5"
GM,🇬🇲,"U+1F1EC U+1F1F2"
GW,🇬🇼,"U+1F1EC U+1F1FC"
GQ,🇬🇶,"U+1F1EC U+1F1F6"
GR,🇬🇷,"U+1F1EC U+1F1F7"
GD,🇬🇩,"U+1F1EC U+1F1E9"
GL,🇬🇱,"U+1F1EC U+1F1F1"
GT,🇬🇹,"U+1F1EC U+1F1F9"
GF,🇬🇫,"U+1F1EC U+1F1EB"
GU,🇬🇺,"U+1F1EC U+1F1FA"
GY,🇬🇾,"U+1F1EC U+1F1FE"
HK,🇭🇰,"U+1F1ED U+1F1F0"
HM,🇭🇲,"U+1F1ED U+1F1F2"
HN,🇭🇳,"U+1F1ED U+1F1F3"
HR,🇭🇷,"U+1F1ED U+1F1F7"
HT,🇭🇹,"U+1F1ED U+1F1F9"
HU,🇭🇺,"U+1F1ED U+1F1FA"
ID,🇮🇩,"U+1F1EE U+1F1E9"
IM,🇮🇲,"U+1F1EE U+1F1F2"
IN,🇮🇳,"U+1F1EE U+1F1F3"
IO,🇮🇴,"U+1F1EE U+1F1F4"
IE,🇮🇪,"U+1F1EE U+1F1EA"
IR,🇮🇷,"U+1F1EE U+1F1F7"
IQ,🇮🇶,"U+1F1EE U+1F1F6"
IS,🇮🇸,"U+1F1EE U+1F1F8"
IL,🇮🇱,"U+1F1EE U+1F1F1"
IT,🇮🇹,"U+1F1EE U+1F1F9"
JM,🇯🇲,"U+1F1EF U+1F1F2"
JE,🇯🇪,"U+1F1EF U+1F1EA"
JO,🇯🇴,"U+1F1EF U+1F1F4"
JP,🇯🇵,"U+1F1EF U+1F1F5"
KZ,🇰🇿,"U+1F1F0 U+1F1FF"
KE,🇰🇪,"U+1F1F0 U+1F1EA"
KG,🇰🇬,"U+1F1F0 U+1F1EC"
KH,🇰🇭,"U+1F1F0 U+1F1ED"
KI,🇰🇮,"U+1F1F0 U+1F1EE"
KN,🇰🇳,"U+1F1F0 U+1F1F3"
KR,🇰🇷,"U+1F1F0 U+1F1F7"
XK,🇽🇰,"U+1F1FD U+1F1F0"
KW,🇰🇼,"U+1F1F0 U+1F1FC"
LA,🇱🇦,"U+1F1F1 U+1F1E6"
LB,🇱🇧,"U+1F1F1 U+1F1E7"
LR,🇱🇷,"U+1F1F1 U+1F1F7"
LY,🇱🇾,"U+1F1F1 U+1F1FE"
LC,🇱🇨,"U+1F1F1 U+1F1E8"
LI,🇱🇮,"U+1F1F1 U+1F1EE"
LK,🇱🇰,"U+1F1F1 U+1F1F0"
LS,🇱🇸,"U+1F1F1 U+1F1F8"
LT,🇱🇹,"U+1F1F1 U+1F1F9"
LU,🇱🇺,"U+1F1F1 U+1F1FA"
LV,🇱🇻,"U+1F1F1 U+1F1FB"
MO,🇲🇴,"U+1F1F2 U+1F1F4"
MF,🇲🇫,"U+1F1F2 U+1F1EB"
MA,🇲🇦,"U+1F1F2 U+1F1E6"
MC,🇲🇨,"U+1F1F2 U+1F1E8"
MD,🇲🇩,"U+1F1F2 U+1F1E9"
MG,🇲🇬,"U+1F1F2 U+1F1EC"
MV,🇲🇻,"U+1F1F2 U+1F1FB"
MX,🇲🇽,"U+1F1F2 U+1F1FD"
MH,🇲🇭,"U+1F1F2 U+1F1ED"
MK,🇲🇰,"U+1F1F2 U+1F1F0"
ML,🇲🇱,"U+1F1F2 U+1F1F1"
MT,🇲🇹,"U+1F1F2 U+1F1F9"
MM,🇲🇲,"U+1F1F2 U+1F1F2"
ME,🇲🇪,"U+1F1F2 U+1F1EA"
MN,🇲🇳,"U+1F1F2 U+1F1F3"
MP,🇲🇵,"U+1F1F2 U+1F1F5"
MZ,🇲🇿,"U+1F1F2 U+1F1FF"
MR,🇲🇷,"U+1F1F2 U+1F1F7"
MS,🇲🇸,"U+1F1F2 U+1F1F8"
MQ,🇲🇶,"U+1F1F2 U+1F1F6"
MU,🇲🇺,"U+1F1F2 U+1F1FA"
MW,🇲🇼,"U+1F1F2 U+1F1FC"
MY,🇲🇾,"U+1F1F2 U+1F1FE"
YT,🇾🇹,"U+1F1FE U+1F1F9"
NA,🇳🇦,"U+1F1F3 U+1F1E6"
NC,🇳🇨,"U+1F1F3 U+1F1E8"
NE,🇳🇪,"U+1F1F3 U+1F1EA"
NF,🇳🇫,"U+1F1F3 U+1F1EB"
NG,🇳🇬,"U+1F1F3 U+1F1EC"
NI,🇳🇮,"U+1F1F3 U+1F1EE"
NU,🇳🇺,"U+1F1F3 U+1F1FA"
NL,🇳🇱,"U+1F1F3 U+1F1F1"
NO,🇳🇴,"U+1F1F3 U+1F1F4"
NP,🇳🇵,"U+1F1F3 U+1F1F5"
NR,🇳🇷,"U+1F1F3 U+1F1F7"
NZ,🇳🇿,"U+1F1F3 U+1F1FF"
OM,🇴🇲,"U+1F1F4 U+1F1F2"
PK,🇵🇰,"U+1F1F5 U+1F1F0"
PA,🇵🇦,"U+1F1F5 U+1F1E6"
PN,🇵🇳,"U+1F1F5 U+1F1F3"
PE,🇵🇪,"U+1F1F5 U+1F1EA"
PH,🇵🇭,"U+1F1F5 U+1F1ED"
PW,🇵🇼,"U+1F1F5 U+1F1FC"
PG,🇵🇬,"U+1F1F5 U+1F1EC"
PL,🇵🇱,"U+1F1F5 U+1F1F1"
PR,🇵🇷,"U+1F1F5 U+1F1F7"
KP,🇰🇵,"U+1F1F0 U+1F1F5"
PT,🇵🇹,"U+1F1F5 U+1F1F9"
PY,🇵🇾,"U+1F1F5 U+1F1FE"
PS,🇵🇸,"U+1F1F5 U+1F1F8"
PF,🇵🇫,"U+1F1F5 U+1F1EB"
QA,🇶🇦,"U+1F1F6 U+1F1E6"
RE,🇷🇪,"U+1F1F7 U+1F1EA"
RO,🇷🇴,"U+1F1F7 U+1F1F4"
RU,🇷🇺,"U+1F1F7 U+1F1FA"
RW,🇷🇼,"U+1F1F7 U+1F1FC"
SA,🇸🇦,"U+1F1F8 U+1F1E6"
SD,🇸🇩,"U+1F1F8 U+1F1E9"
SN,🇸🇳,"U+1F1F8 U+1F1F3"
SG,🇸🇬,"U+1F1F8 U+1F1EC"
GS,🇬🇸,"U+1F1EC U+1F1F8"
SJ,🇸🇯,"U+1F1F8 U+1F1EF"
SB,🇸🇧,"U+1F1F8 U+1F1E7"
SL,🇸🇱,"U+1F1F8 U+1F1F1"
SV,🇸🇻,"U+1F1F8 U+1F1FB"
SM,🇸🇲,"U+1F1F8 U+1F1F2"
SO,🇸🇴,"U+1F1F8 U+1F1F4"
PM,🇵🇲,"U+1F1F5 U+1F1F2"
RS,🇷🇸,"U+1F1F7 U+1F1F8"
SS,🇸🇸,"U+1F1F8 U+1F1F8"
ST,🇸🇹,"U+1F1F8 U+1F1F9"
SR,🇸🇷,"U+1F1F8 U+1F1F7"
SK,🇸🇰,"U+1F1F8 U+1F1F0"
SI,🇸🇮,"U+1F1F8 U+1F1EE"
SE,🇸🇪,"U+1F1F8 U+1F1EA"
SZ,🇸🇿,"U+1F1F8 U+1F1FF"
SC,🇸🇨,"U+1F1F8 U+1F1E8"
SY,🇸🇾,"U+1F1F8 U+1F1FE"
TC,🇹🇨,"U+1F1F9 U+1F1E8"
TD,🇹🇩,"U+1F1F9 U+1F1E9"
TG,🇹🇬,"U+1F1F9 U+1F1EC"
TH,🇹🇭,"U+1F1F9 U+1F1ED"
TJ,🇹🇯,"U+1F1F9 U+1F1EF"
TK,🇹🇰,"U+1F1F9 U+1F1F0"
TM,🇹🇲,"U+1F1F9 U+1F1F2"
TL,🇹🇱,"U+1F1F9 U+1F1F1"
TO,🇹🇴,"U+1F1F9 U+1F1F4"
TT,🇹🇹,"U+1F1F9 U+1F1F9"
TN,🇹🇳,"U+1F1F9 U+1F1F3"
TR,🇹🇷,"U+1F1F9 U+1F1F7"
TV,🇹🇻,"U+1F1F9 U+1F1FB"
TW,🇹🇼,"U+1F1F9 U+1F1FC"
TZ,🇹🇿,"U+1F1F9 U+1F1FF"
UG,🇺🇬,"U+1F1FA U+1F1EC"
UA,🇺🇦,"U+1F1FA U+1F1E6"
UM,🇺🇲,"U+1F1FA U+1F1F2"
UY,🇺🇾,"U+1F1FA U+1F1FE"
US,🇺🇸,"U+1F1FA U+1F1F8"
UZ,🇺🇿,"U+1F1FA U+1F1FF"
VA,🇻🇦,"U+1F1FB U+1F1E6"
VC,🇻🇨,"U+1F1FB U+1F1E8"
VE,🇻🇪,"U+1F1FB U+1F1EA"
VG,🇻🇬,"U+1F1FB U+1F1EC"
VI,🇻🇮,"U+1F1FB U+1F1EE"
VN,🇻🇳,"U+1F1FB U+1F1F3"
VU,🇻🇺,"U+1F1FB U+1F1FA"
WF,🇼🇫,"U+1F1FC U+1F1EB"
WS,🇼🇸,"U+1F1FC U+1F1F8"
YE,🇾🇪,"U+1F1FE U+1F1EA"
ZA,🇿🇦,"U+1F1FF U+1F1E6"
ZM,🇿🇲,"U+1F1FF U+1F1F2"
ZW,🇿🇼,"U+1F1FF U+1F1FC"
